0,1
1,1
2,2
3,2
4,5
5,5
6,5
7,5
8,5
9,7
10,8
11,8
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,12
21,12
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,15
31,15
32,15
33,51
34,51
35,57
36,58
37,60
38,68
39,74
40,98
41,118
42,149
43,217
44,262
45,402
46,518
47,583
48,959
49,1281
50,1663
51,2179
52,2727
53,3499
54,4632
55,6421
56,7783
57,13747
58,19273
59,25600
60,33276
61,43843
62,53736
63,65778
64,83836
65,101657
66,121465
67,140909
68,161831
69,188172
70,213242
71,243622
72,275367
73,308650
74,336802
75,366317
76,397121
77,428654
78,462780
79,496535
80,526396
81,555313
82,580619
83,607670
84,636350
85,667592
86,699706
87,732197
88,758809
89,784326
90,811865
91,840351
92,869170
93,905358
94,938154
95,965785
96,988197
97,1012582
98,1039909
99,1069424
100,1103461
101,1132539
102,1158040
